method,mean_ms,std_ms,median_ms,p95_ms,n_segments,device,cpu
dae_after_wavelet,0.466329,0.061902,0.454729,0.515736,20,cpu,arm
hybrid_wavelet_dae,0.559423,0.054335,0.554563,0.667294,20,cpu,arm
wavelet_only,0.099408,0.010436,0.096896,0.114166,20,cpu,arm
