method,snr_db,snr_gain_db,rmse,rrmse
noisy_input,0.0,0.0,185.73577194466156,1.0
wavelet_only,2.3250687855381478,2.3250687855381478,142.11571874889705,0.7651499614798988
hybrid,4.1887666746217995,4.1887666746217995,114.67195623962627,0.6173929504209443
